epoch,iso,state,tables_done,tables_total,files_done,files_total,chunks_done,http
"1787077878","2026-08-18T20:31:18+02:00","running",1,186,0,48559,117,"200"
"1787077908","2026-08-18T20:31:48+02:00","running",2,186,0,48559,237,"200"
"1787077925","2026-08-18T20:32:05+02:00","running",3,186,0,48559,281,"200"
"1787077955","2026-08-18T20:32:35+02:00","running",3,186,0,48559,281,"200"
"1787077985","2026-08-18T20:33:06+02:00","running",3,186,0,48559,281,"200"
"1787078016","2026-08-18T20:33:36+02:00","running",3,186,0,48559,281,"200"
"1787078046","2026-08-18T20:34:06+02:00","running",3,186,0,48559,281,"200"
"1787078076","2026-08-18T20:34:37+02:00","running",3,186,0,48559,281,"200"
"1787078107","2026-08-18T20:35:07+02:00","running",3,186,0,48559,281,"200"
"1787078137","2026-08-18T20:35:37+02:00","running",3,186,0,48559,281,"200"
"1787078168","2026-08-18T20:36:08+02:00","running",3,186,0,48559,281,"200"
"1787078198","2026-08-18T20:36:38+02:00","running",3,186,0,48559,281,"200"
"1787078228","2026-08-18T20:37:09+02:00","running",3,186,0,48559,281,"200"
"1787078259","2026-08-18T20:37:39+02:00","running",3,186,0,48559,282,"200"
"1787078289","2026-08-18T20:38:09+02:00","running",3,186,0,48559,282,"200"
"1787078319","2026-08-18T20:38:40+02:00","running",3,186,0,48559,282,"200"
"1787078350","2026-08-18T20:39:10+02:00","running",3,186,0,48559,282,"200"
"1787078380","2026-08-18T20:39:40+02:00","running",6,186,0,48559,296,"200"
"1787078410","2026-08-18T20:40:10+02:00","running",9,186,0,48559,342,"200"
"1787078441","2026-08-18T20:40:41+02:00","running",9,186,0,48559,342,"200"
"1787078471","2026-08-18T20:41:11+02:00","running",11,186,0,48559,370,"200"
"1787078501","2026-08-18T20:41:41+02:00","running",83,186,0,48559,469,"200"
"1787078532","2026-08-18T20:42:12+02:00","running",186,186,55,48559,627,"200"
"1787078562","2026-08-18T20:42:42+02:00","running",186,186,164,48559,736,"200"
"1787078592","2026-08-18T20:43:13+02:00","running",186,186,279,48559,851,"200"
"1787078623","2026-08-18T20:43:43+02:00","running",186,186,399,48559,971,"200"
"1787078653","2026-08-18T20:44:13+02:00","running",186,186,514,48559,1086,"200"
"1787078683","2026-08-18T20:44:43+02:00","running",186,186,623,48559,1195,"200"
"1787078714","2026-08-18T20:45:14+02:00","running",186,186,723,48559,1295,"200"
"1787078744","2026-08-18T20:45:44+02:00","running",186,186,836,48559,1408,"200"
"1787078774","2026-08-18T20:46:14+02:00","running",186,186,957,48559,1529,"200"
"1787078805","2026-08-18T20:46:45+02:00","running",186,186,1077,48559,1649,"200"
"1787078835","2026-08-18T20:47:15+02:00","running",186,186,1191,48559,1763,"200"
"1787078865","2026-08-18T20:47:45+02:00","running",186,186,1314,48559,1886,"200"
"1787078896","2026-08-18T20:48:16+02:00","running",186,186,1430,48559,2002,"200"
"1787078926","2026-08-18T20:48:46+02:00","running",186,186,1550,48559,2122,"200"
"1787078956","2026-08-18T20:49:16+02:00","running",186,186,1661,48559,2233,"200"
"1787078987","2026-08-18T20:49:47+02:00","running",186,186,1781,48559,2353,"200"
"1787079017","2026-08-18T20:50:17+02:00","running",186,186,1892,48559,2464,"200"
"1787079047","2026-08-18T20:50:48+02:00","running",186,186,1997,48559,2569,"200"
"1787079078","2026-08-18T20:51:18+02:00","running",186,186,2113,48559,2685,"200"
"1787079108","2026-08-18T20:51:48+02:00","running",186,186,2228,48559,2800,"200"
"1787079138","2026-08-18T20:52:19+02:00","running",186,186,2341,48559,2913,"200"
"1787079169","2026-08-18T20:52:49+02:00","running",186,186,2444,48559,3016,"200"
"1787079199","2026-08-18T20:53:19+02:00","running",186,186,2555,48559,3127,"200"
"1787079229","2026-08-18T20:53:50+02:00","running",186,186,2671,48559,3243,"200"
"1787079260","2026-08-18T20:54:20+02:00","running",186,186,2788,48559,3360,"200"
"1787079290","2026-08-18T20:54:50+02:00","running",186,186,2907,48559,3479,"200"
"1787079320","2026-08-18T20:55:21+02:00","running",186,186,3014,48559,3586,"200"
"1787079351","2026-08-18T20:55:51+02:00","running",186,186,3126,48559,3698,"200"
"1787079381","2026-08-18T20:56:21+02:00","running",186,186,3236,48559,3808,"200"
"1787079411","2026-08-18T20:56:52+02:00","running",186,186,3360,48559,3932,"200"
"1787079442","2026-08-18T20:57:22+02:00","running",186,186,3470,48559,4042,"200"
"1787079472","2026-08-18T20:57:52+02:00","running",186,186,3585,48559,4157,"200"
"1787079502","2026-08-18T20:58:23+02:00","running",186,186,3687,48559,4259,"200"
"1787079533","2026-08-18T20:58:53+02:00","running",186,186,3798,48559,4370,"200"
"1787079563","2026-08-18T20:59:23+02:00","running",186,186,3913,48559,4485,"200"
"1787079594","2026-08-18T20:59:54+02:00","running",186,186,4035,48559,4607,"200"
"1787079624","2026-08-18T21:00:24+02:00","running",186,186,4143,48559,4715,"200"
"1787079654","2026-08-18T21:00:55+02:00","running",186,186,4252,48559,4824,"200"
"1787079685","2026-08-18T21:01:25+02:00","running",186,186,4360,48559,4932,"200"
"1787079715","2026-08-18T21:01:55+02:00","running",186,186,4474,48559,5046,"200"
"1787079745","2026-08-18T21:02:26+02:00","running",186,186,4589,48559,5161,"200"
"1787079776","2026-08-18T21:02:56+02:00","running",186,186,4702,48559,5274,"200"
"1787079806","2026-08-18T21:03:26+02:00","running",186,186,4814,48559,5386,"200"
"1787079836","2026-08-18T21:03:56+02:00","running",186,186,4933,48559,5505,"200"
"1787079867","2026-08-18T21:04:27+02:00","running",186,186,5051,48559,5623,"200"
"1787079897","2026-08-18T21:04:57+02:00","running",186,186,5165,48559,5737,"200"
"1787079927","2026-08-18T21:05:28+02:00","running",186,186,5273,48559,5845,"200"
"1787079958","2026-08-18T21:05:58+02:00","running",186,186,5382,48559,5954,"200"
"1787079988","2026-08-18T21:06:28+02:00","running",186,186,5494,48559,6066,"200"
"1787080018","2026-08-18T21:06:59+02:00","running",186,186,5615,48559,6187,"200"
"1787080049","2026-08-18T21:07:29+02:00","running",186,186,5728,48559,6300,"200"
"1787080079","2026-08-18T21:07:59+02:00","running",186,186,5876,48559,6448,"200"
"1787080109","2026-08-18T21:08:30+02:00","running",186,186,6021,48559,6593,"200"
"1787080140","2026-08-18T21:09:00+02:00","running",186,186,6189,48559,6761,"200"
"1787080170","2026-08-18T21:09:30+02:00","running",186,186,6353,48559,6925,"200"
"1787080200","2026-08-18T21:10:01+02:00","running",186,186,6516,48559,7088,"200"
"1787080231","2026-08-18T21:10:31+02:00","running",186,186,6678,48559,7250,"200"
