epoch,iso,state,tables_done,tables_total,files_done,files_total,chunks_done,http
"1787147733","2026-08-19T15:55:34+02:00","running",0,0,0,1,0,"200"
"1787147749","2026-08-19T15:55:49+02:00","running",0,0,0,1,0,"200"
"1787147764","2026-08-19T15:56:04+02:00","running",0,0,0,1,0,"200"
"1787147779","2026-08-19T15:56:19+02:00","running",0,0,0,1,0,"200"
"1787147795","2026-08-19T15:56:35+02:00","running",0,0,0,1,0,"200"
"1787147810","2026-08-19T15:56:50+02:00","running",0,0,0,1,0,"200"
"1787147825","2026-08-19T15:57:05+02:00","running",0,0,0,1,0,"200"
"1787147840","2026-08-19T15:57:21+02:00","running",0,0,0,1,0,"200"
"1787147856","2026-08-19T15:57:36+02:00","running",0,0,0,1,0,"200"
"1787147871","2026-08-19T15:57:51+02:00","running",0,0,0,1,0,"200"
"1787147886","2026-08-19T15:58:07+02:00","running",0,0,0,1,0,"200"
"1787147902","2026-08-19T15:58:22+02:00","running",0,0,0,1,0,"200"
"1787147917","2026-08-19T15:58:37+02:00","running",0,0,0,1,0,"200"
"1787147932","2026-08-19T15:58:52+02:00","running",0,0,0,1,1,"200"
"1787147947","2026-08-19T15:59:08+02:00","running",0,0,0,1,1,"200"
"1787147963","2026-08-19T15:59:23+02:00","running",0,0,0,1,1,"200"
"1787147978","2026-08-19T15:59:38+02:00","running",0,0,0,1,1,"200"
"1787147993","2026-08-19T15:59:54+02:00","running",0,0,0,1,1,"200"
"1787148009","2026-08-19T16:00:09+02:00","running",0,0,0,1,1,"200"
"1787148024","2026-08-19T16:00:24+02:00","running",0,0,0,1,1,"200"
"1787148039","2026-08-19T16:00:40+02:00","running",0,0,0,1,1,"200"
"1787148055","2026-08-19T16:00:55+02:00","running",0,0,0,1,1,"200"
"1787148070","2026-08-19T16:01:10+02:00","running",0,0,0,1,1,"200"
"1787148085","2026-08-19T16:01:25+02:00","running",0,0,0,1,1,"200"
"1787148100","2026-08-19T16:01:41+02:00","running",0,0,0,1,1,"200"
"1787148116","2026-08-19T16:01:56+02:00","running",0,0,0,1,1,"200"
"1787148131","2026-08-19T16:02:11+02:00","running",0,0,0,1,1,"200"
"1787148146","2026-08-19T16:02:27+02:00","running",0,0,0,1,1,"200"
"1787148162","2026-08-19T16:02:42+02:00","running",0,0,0,1,1,"200"
"1787148177","2026-08-19T16:02:57+02:00","running",0,0,0,1,1,"200"
"1787148192","2026-08-19T16:03:12+02:00","running",0,0,0,1,1,"200"
"1787148207","2026-08-19T16:03:28+02:00","running",0,0,0,1,1,"200"
"1787148223","2026-08-19T16:03:43+02:00","running",0,0,0,1,1,"200"
"1787148238","2026-08-19T16:03:58+02:00","running",0,0,0,1,1,"200"
"1787148253","2026-08-19T16:04:13+02:00","running",0,0,0,1,1,"200"
"1787148269","2026-08-19T16:04:29+02:00","running",0,0,0,1,2,"200"
"1787148284","2026-08-19T16:04:44+02:00","running",0,0,0,1,2,"200"
"1787148299","2026-08-19T16:04:59+02:00","running",0,0,0,1,2,"200"
"1787148314","2026-08-19T16:05:15+02:00","running",0,0,0,1,2,"200"
"1787148330","2026-08-19T16:05:30+02:00","running",0,0,0,1,2,"200"
"1787148345","2026-08-19T16:05:45+02:00","running",0,0,0,1,2,"200"
"1787148360","2026-08-19T16:06:01+02:00","running",0,0,0,1,2,"200"
"1787148376","2026-08-19T16:06:16+02:00","running",0,0,0,1,2,"200"
"1787148391","2026-08-19T16:06:31+02:00","running",0,0,0,1,2,"200"
"1787148406","2026-08-19T16:06:46+02:00","running",0,0,0,1,2,"200"
"1787148422","2026-08-19T16:07:02+02:00","running",0,0,0,1,2,"200"
"1787148437","2026-08-19T16:07:17+02:00","running",0,0,0,1,2,"200"
"1787148452","2026-08-19T16:07:32+02:00","running",0,0,0,1,2,"200"
