epoch,iso,state,tables_done,tables_total,files_done,files_total,chunks_done,http
"1787152097","2026-08-19T17:08:17+02:00","running",0,186,0,48578,30,"200"
"1787152127","2026-08-19T17:08:48+02:00","running",0,186,0,48578,100,"200"
"1787152158","2026-08-19T17:09:18+02:00","running",2,186,0,48578,215,"200"
"1787152188","2026-08-19T17:09:48+02:00","running",3,186,0,48578,281,"200"
"1787152218","2026-08-19T17:10:19+02:00","running",3,186,0,48578,281,"200"
"1787152249","2026-08-19T17:10:49+02:00","running",3,186,0,48578,281,"200"
"1787152279","2026-08-19T17:11:19+02:00","running",3,186,0,48578,281,"200"
"1787152309","2026-08-19T17:11:50+02:00","running",3,186,0,48578,281,"200"
"1787152340","2026-08-19T17:12:20+02:00","running",3,186,0,48578,281,"200"
"1787152370","2026-08-19T17:12:50+02:00","running",3,186,0,48578,281,"200"
"1787152400","2026-08-19T17:13:20+02:00","running",3,186,0,48578,281,"200"
"1787152431","2026-08-19T17:13:51+02:00","running",3,186,0,48578,281,"200"
"1787152461","2026-08-19T17:14:21+02:00","running",3,186,0,48578,281,"200"
"1787152491","2026-08-19T17:14:52+02:00","running",3,186,0,48578,281,"200"
"1787152522","2026-08-19T17:15:22+02:00","running",3,186,0,48578,282,"200"
"1787152552","2026-08-19T17:15:52+02:00","running",3,186,0,48578,282,"200"
"1787152582","2026-08-19T17:16:23+02:00","running",3,186,0,48578,282,"200"
"1787152613","2026-08-19T17:16:53+02:00","running",3,186,0,48578,282,"200"
"1787152643","2026-08-19T17:17:23+02:00","running",5,186,0,48578,291,"200"
"1787152673","2026-08-19T17:17:54+02:00","running",9,186,0,48578,342,"200"
"1787152704","2026-08-19T17:18:24+02:00","running",9,186,0,48578,342,"200"
"1787152734","2026-08-19T17:18:54+02:00","running",12,186,0,48578,372,"200"
"1787152764","2026-08-19T17:19:25+02:00","running",87,186,0,48578,473,"200"
"1787152795","2026-08-19T17:19:55+02:00","running",186,186,58,48578,632,"200"
"1787152825","2026-08-19T17:20:25+02:00","running",186,186,164,48578,745,"200"
"1787152855","2026-08-19T17:20:56+02:00","running",186,186,276,48578,865,"200"
"1787152886","2026-08-19T17:21:26+02:00","running",186,186,384,48578,980,"200"
"1787152916","2026-08-19T17:21:56+02:00","running",186,186,501,48578,1103,"200"
"1787152946","2026-08-19T17:22:26+02:00","running",186,186,609,48578,1219,"200"
"1787152976","2026-08-19T17:22:57+02:00","running",186,186,717,48578,1334,"200"
"1787153007","2026-08-19T17:23:27+02:00","running",186,186,830,48578,1454,"200"
